,ID,Approved
0,APPA70109647212,1
1,APPB10687939341,0
2,APPC80449411414,0
3,APPD30665094501,0
4,APPE80379821637,1
5,APPF90611935733,0
6,APPG20993415813,1
7,APPH30656456927,0
8,APPI70297912043,1
9,APPJ50119937105,0
10,APPK30106042233,0
11,APPL40962417345,0
12,APPM90265624408,0
13,APPN80816878501,0
14,APPO80036467625,0
15,APPP70300016724,0
16,APPQ20714935844,0
17,APPR10725816917,0
18,APPT80995817106,1
19,APPU10455032232,0
20,APPV20523998348,0
21,APPW70096327441,0
22,APPX50146048546,1
23,APPY80200205609,1
24,APPZ70268239711,0
25,APPB10908859928,1
26,APPC60646419006,0
27,APPD70986505145,1
28,APPE40974536227,1
29,APPF80212605331,1
30,APPG70118514422,1
31,APPH60330147508,0
32,APPI70857836611,1
33,APPL20333186904,1
34,APPM70580221014,1
35,APPN30606238135,1
36,APPQ60782014415,0
37,APPT80140966721,1
38,APPU80930365832,0
39,APPV80124518928,0
40,APPW90476067036,1
41,APPX90531514107,1
42,APPY80613652222,0
43,APPA60775566448,1
44,APPC70771774625,1
45,APPF80168055929,1
46,APPG50757073027,0
47,APPH30859115106,1
48,APPJ10885387332,0
49,APPK40949346408,1
50,APPL60776142522,1
51,APPN50729023734,0
52,APPP70407207923,1
53,APPR40227782118,1
54,APPV80504514517,1
55,APPW80566048613,0
56,APPX80187469727,0
57,APPZ30260508907,1
58,APPA50518171015,1
59,APPB40882474103,1
60,APPC60427976226,1
61,APPD90513037337,0
62,APPG50800243623,0
63,APPH10433332748,0
64,APPI40348921805,0
65,APPJ80439618906,0
66,APPK30634359001,0
67,APPL40047305118,0
68,APPM70985326241,0
69,APPN20760216327,0
70,APPO10519239445,1
71,APPP70822536506,0
72,APPQ10182368643,1
73,APPR30764178704,0
74,APPS60446465843,0
75,APPT20264132924,1
76,APPV90184745108,0
77,APPX70050373318,1
78,APPY80240353432,0
79,APPZ80848953507,1
80,APPD10500401933,1
81,APPE10200701029,0
82,APPF90094523116,0
83,APPG60519369247,0
